,date,voltage
192,2022-12-02 01:24:38.369,27.4
193,2022-12-02 01:25:40.457,27.4
194,2022-12-02 01:26:42.547,27.4
195,2022-12-02 01:27:44.651,27.4
196,2022-12-02 01:28:46.761,27.4
197,2022-12-02 01:29:48.854,27.4
198,2022-12-02 01:30:50.921,27.4
199,2022-12-02 01:31:53.016,27.4
200,2022-12-02 01:32:55.113,27.4
201,2022-12-02 01:33:57.195,27.4
202,2022-12-02 01:34:59.288,27.4
203,2022-12-02 01:36:01.388,27.4
204,2022-12-02 01:37:03.486,27.4
205,2022-12-02 01:38:05.565,27.4
206,2022-12-02 01:39:07.661,27.4
207,2022-12-02 01:40:09.750,27.4
208,2022-12-02 01:41:11.842,27.4
209,2022-12-02 01:42:13.936,27.4
210,2022-12-02 01:43:16.024,27.4
211,2022-12-02 01:44:18.113,27.4
212,2022-12-02 01:45:20.204,27.4
213,2022-12-02 01:46:22.295,27.4
214,2022-12-02 01:47:24.381,27.4
215,2022-12-02 01:48:26.467,27.4
216,2022-12-02 01:49:28.548,27.4
217,2022-12-02 01:50:30.644,27.4
218,2022-12-02 01:51:32.734,27.4
219,2022-12-02 01:52:34.823,27.4
220,2022-12-02 01:53:36.917,27.4
221,2022-12-02 01:54:39.010,27.4
222,2022-12-02 01:55:41.100,27.4
223,2022-12-02 01:56:43.203,27.4
224,2022-12-02 01:57:45.316,27.4
225,2022-12-02 01:58:47.433,27.4
226,2022-12-02 01:59:49.507,27.4
227,2022-12-02 02:00:51.605,27.4
228,2022-12-02 02:01:53.699,27.4
229,2022-12-02 02:02:55.780,27.4
230,2022-12-02 02:03:57.873,27.4
231,2022-12-02 02:04:59.977,27.4
232,2022-12-02 02:06:02.069,27.4
233,2022-12-02 02:07:04.153,27.4
234,2022-12-02 02:08:06.242,27.4
235,2022-12-02 02:09:08.337,27.4
236,2022-12-02 02:10:10.422,27.4
237,2022-12-02 02:11:12.503,27.4
238,2022-12-02 02:12:14.617,27.4
239,2022-12-02 02:13:16.719,27.4
240,2022-12-02 02:14:18.795,27.4
241,2022-12-02 02:15:20.909,27.4
242,2022-12-02 02:16:23.003,27.4
243,2022-12-02 02:17:25.090,27.4
244,2022-12-02 02:18:27.177,27.4
245,2022-12-02 02:19:29.276,27.4
246,2022-12-02 02:20:31.366,27.4
247,2022-12-02 02:21:33.456,27.4
248,2022-12-02 02:22:35.552,27.4
249,2022-12-02 02:23:37.639,27.4
250,2022-12-02 02:24:39.721,27.4
251,2022-12-02 02:25:41.812,27.4
252,2022-12-02 02:26:43.926,27.4
253,2022-12-02 02:27:46.026,27.4
254,2022-12-02 02:28:48.114,27.4
255,2022-12-02 02:29:50.206,27.4
256,2022-12-02 02:30:52.293,27.4
257,2022-12-02 02:31:54.397,27.4
258,2022-12-02 02:32:56.486,27.4
259,2022-12-02 02:33:58.588,27.4
260,2022-12-02 02:35:00.715,27.4
261,2022-12-02 02:36:02.803,27.4
262,2022-12-02 02:37:04.904,27.4
263,2022-12-02 02:38:06.991,27.4
264,2022-12-02 02:39:09.075,27.4
265,2022-12-02 02:40:11.162,27.4
266,2022-12-02 02:41:13.262,27.4
267,2022-12-02 02:42:15.356,27.4
268,2022-12-02 02:43:17.455,27.4
269,2022-12-02 02:44:19.558,27.4
270,2022-12-02 02:45:21.661,27.4
271,2022-12-02 02:46:23.746,27.4
272,2022-12-02 02:47:25.840,27.4
273,2022-12-02 02:48:27.930,27.4
274,2022-12-02 02:49:30.025,27.4
275,2022-12-02 02:50:32.114,27.4
276,2022-12-02 02:51:34.207,27.4
277,2022-12-02 02:52:36.290,27.4
278,2022-12-02 02:53:38.372,27.4
279,2022-12-02 02:54:40.460,27.4
280,2022-12-02 02:55:42.559,27.4
281,2022-12-02 02:56:44.648,27.4
282,2022-12-02 02:57:46.738,27.4
283,2022-12-02 02:58:48.837,27.4
